videoId,publishedTime,durationSec,viewCount,likeCount,dislikeCount,commentCount
hPus2JeA8Bc,07-02-2020 13:43,147,57832,1249,92,139
1QXyLrKnQrg,07-02-2020 13:15,216,396002,3554,232,273
DtOtjfctxO8,07-02-2020 13:38,166,72417,1172,97,92
wu3Y3qCs_mU,06-02-2020 08:30,282,1157239,28438,860,1255
uDOznzf4LQQ,12-02-2020 11:34,21,345188,7334,232,316
StjtmxZItas,11-02-2020 08:43,16,382269,10080,383,482
IisaxpTXW-s,09-02-2020 09:32,16,495802,11153,452,448
Yv1Hg-2VnMw,08-02-2020 09:31,21,204877,3403,178,132
dZ3MWuke7ps,07-02-2020 09:40,31,879556,20061,401,549
UmA2hNVS9e4,06-02-2020 11:48,31,389438,8085,270,328
km7GmW2C7JU,05-02-2020 11:31,141,8633064,87897,5839,3424
erCHgiDPq8U,06-02-2020 11:30,1456,1395188,27002,994,1437
uL7K6iVct-Q,05-02-2020 06:37,239,6412030,44704,3135,817
HbJKvLdPGrs,04-02-2020 13:02,31,303182,6533,240,287
duSPa7DgKv0,05-02-2020 07:51,129,205881,3822,167,163
GOkJguI8kYc,05-02-2020 08:31,218,159347402,895945,85869,15189
l75z7FrYRXI,06-02-2020 06:33,183,115851800,593857,88734,9802
3mBpgxzAn6E,04-02-2020 13:20,262,8679603,79669,3519,1558
Powg9XIWNpU,06-02-2020 10:30,317,1444908,17216,478,446
CYuX6cVJZJc,07-02-2020 12:30,220,1314983,8904,745,289
EQOnA8zqxgU,04-02-2020 11:07,138,410856,8432,431,505
5LBB6OV3Ano,04-02-2020 05:34,126,26462839,437887,10241,8181
nI9_SlYLvFE,04-02-2020 12:30,179,413300,7578,572,587
Y-xMUa9e2Ig,03-02-2020 10:22,209,655581,11180,595,760
Y8ETNh_IQjs,05-02-2020 13:30,318,11134365,66161,2941,1367
fqlB7j91cRA,08-02-2020 08:30,165,512012,6016,480,318
E7Yx6LLI2bM,03-02-2020 12:24,183,13131870,69356,10059,1609
p-BEAbwJt3I,08-02-2020 04:30,191,51138,717,150,155
cd-ozdPSAIA,03-02-2020 07:01,184,37469404,334703,27261,9978
008igxtMe-s,01-02-2020 10:31,118,13811222,218748,15779,5938
gLAyYLdZCWc,01-02-2020 06:30,147,1114327,21605,1346,788
9Pr6LwQkrQI,31-01-2020 09:30,182,31356345,150244,18180,2675
Tk8jYyEv-_c,31-01-2020 10:55,841,2118551,48262,3600,990
